Job,ENG,SerialNumber,Part,Product,Model Group,Elastomer,Model,Job Comment,Location,Last Labor,StartDate,DueDate,AdhesiveDry,Firm,Scheduled,Ship By,Promise,Day,Week,Expedite,Ship Hold,Prod Hold,Group,Order,L/R,Name,Complete,Risk,StalledDays
MRP00000000037,FALSE,,S875840HS0-MPCBODTH,S875840HS0,S875,HS,8758400,,MCHSHOP,,4/3/2023 4:08 PM,10/13/2023,,FALSE,FALSE,10/13/2023,10/13/2023,6,41,FALSE,TRUE,FALSE,STATORS,54851,2/5,MPACT Downhole Motors,,FALSE,
MRP00000000038,FALSE,,S875840HS0-MPCBODTH,S875840HS0,S875,HS,8758400,,MCHSHOP,,4/3/2023 4:08 PM,10/13/2023,,FALSE,FALSE,10/13/2023,10/13/2023,6,41,FALSE,TRUE,FALSE,STATORS,54851,2/6,MPACT Downhole Motors,,FALSE,
125257,FALSE,DDS S5B-70103,S700584F30-RELINE,S700584F30,S700,F3,7005840,"
",QC-IN,,5/18/2023 12:28 PM,12/31/2025,,TRUE,FALSE,12/31/2030,12/31/2030,3,53,FALSE,TRUE,TRUE,RELINES,55184,1/2,Downhole Drilling Services LLC.,FALSE,FALSE,
MRP00000000125,FALSE,,S700584HS0-PHCBIDTH,S700584HS0,S700,HS,7005840,,MCHSHOP,,5/19/2023 2:23 PM,11/3/2023,,FALSE,FALSE,11/3/2023,11/3/2023,6,44,FALSE,FALSE,FALSE,STATORS,55204,4/18,Phoenix Technology Services USA Inc. (TX),,FALSE,
MRP00000000126,FALSE,,S700584HS0-PHCBIDTH,S700584HS0,S700,HS,7005840,,MCHSHOP,,5/19/2023 2:23 PM,11/3/2023,,FALSE,FALSE,11/3/2023,11/3/2023,6,44,FALSE,FALSE,FALSE,STATORS,55204,4/19,Phoenix Technology Services USA Inc. (TX),,FALSE,
MRP00000000127,FALSE,,S700584HS0-PHCBIDTH,S700584HS0,S700,HS,7005840,,MCHSHOP,,5/19/2023 2:23 PM,11/3/2023,,FALSE,FALSE,11/3/2023,11/3/2023,6,44,FALSE,FALSE,FALSE,STATORS,55204,4/20,Phoenix Technology Services USA Inc. (TX),,FALSE,
MRP00000000128,FALSE,,S700584HS0-PHCBIDTH,S700584HS0,S700,HS,7005840,,MCHSHOP,,5/19/2023 2:23 PM,11/10/2023,,FALSE,FALSE,11/10/2023,11/10/2023,6,45,FALSE,FALSE,FALSE,STATORS,55204,4/21,Phoenix Technology Services USA Inc. (TX),,FALSE,
MRP00000000129,FALSE,,S700584HS0-PHCBIDTH,S700584HS0,S700,HS,7005840,,MCHSHOP,,5/19/2023 2:23 PM,11/10/2023,,FALSE,FALSE,11/10/2023,11/10/2023,6,45,FALSE,FALSE,FALSE,STATORS,55204,4/22,Phoenix Technology Services USA Inc. (TX),,FALSE,
MRP00000000015,FALSE,,S700594HS0-PHCBIDTH,S700594HS0,S700,HS,7005940,,MCHSHOP,,5/19/2023 2:23 PM,11/10/2023,,FALSE,FALSE,11/10/2023,11/10/2023,6,45,FALSE,FALSE,FALSE,STATORS,55204,8/1,Phoenix Technology Services USA Inc. (TX),,FALSE,
MRP00000000016,FALSE,,S700594HS0-PHCBIDTH,S700594HS0,S700,HS,7005940,,MCHSHOP,,5/19/2023 2:23 PM,11/17/2023,,FALSE,FALSE,11/17/2023,11/17/2023,6,46,FALSE,FALSE,FALSE,STATORS,55204,8/2,Phoenix Technology Services USA Inc. (TX),,FALSE,
